agent,final_50_train_return,final_50_avg_max_q,final_50_episode_length,best_train_return,final_10_eval_return,best_eval_return,final_10_eval_length
DQN,226.4105041634394,45.96770732651541,467.46,311.49952874341903,228.40078882774623,282.2082037973342,416.4
Double DQN,183.31224475620945,44.348693387858155,475.54,315.5190724517157,231.14084864195593,286.2579305982387,353.67999999999995
Mellowmax DQN,219.23297558352212,26.986658020556664,551.06,314.75406993279216,256.8573352104113,282.9650602947603,346.72
