agent,final_50_train_return,final_50_avg_max_q,final_50_train_max_height,best_train_return,final_10_eval_return,final_10_eval_max_height,best_eval_return,best_eval_max_height
DQN,-136.28,-56.4473210002936,1.6967582893371582,-90.0,-382.88,-0.7832470893859863,-84.6,1.7822248935699463
Double DQN,-140.92,-44.46221223843726,1.675432298183441,-87.0,-225.08,0.5216323351860046,-82.4,1.7845084190368652
Mellowmax DQN,-126.66,-46.251618194362955,1.682783522605896,-83.0,-274.6,0.0942402029037476,-77.4,1.7896325588226318
