agent,backup_type,seed,episode,train_return,eval_return,avg_max_q,episode_length,eval_length,loss,mellowmax_omega,action_repeat,num_custom_actions
DQN,dqn,0,1,-72.00000000000057,,0.03449647380411625,250,,,,4,9
DQN,dqn,0,2,-73.40000000000033,,0.03518029611557722,250,,,,4,9
DQN,dqn,0,3,-24.200000000000024,,-0.07522306510029321,94,,0.07941500000331712,,4,9
DQN,dqn,0,4,-92.99999999999966,,-0.17966370022296904,250,,0.0659850352103748,,4,9
DQN,dqn,0,5,-79.00000000000074,,-0.2854464204907417,250,,0.06274670149169621,,4,9
DQN,dqn,0,6,-63.60000000000046,,-0.3522724188193679,250,,0.049465384216062606,,4,9
DQN,dqn,0,7,-88.80000000000021,,-0.4939908282458782,250,,0.039852302085848584,,4,9
DQN,dqn,0,8,-86.00000000000041,,-0.436212888687849,250,,0.037608607435628535,,4,9
DQN,dqn,0,9,-81.80000000000071,,-0.5131836718283593,250,,0.052142738725148866,,4,9
DQN,dqn,0,10,-79.00000000000026,,-0.47032830545306203,250,,0.04803470770517985,,4,9
DQN,dqn,0,11,-84.60000000000058,,-0.6182415063232184,250,,0.04064439418875883,,4,9
DQN,dqn,0,12,-76.20000000000073,,-0.628729751965031,250,,0.042021822494765125,,4,9
DQN,dqn,0,13,-33.00000000000003,,1.0401862963282187,109,,0.03951361499450825,,4,9
DQN,dqn,0,14,-90.2000000000002,,-0.9272093628793955,250,,0.06356980804834635,,4,9
DQN,dqn,0,15,-74.8000000000003,,-0.23689890164136887,250,,0.054466892388604936,,4,9
DQN,dqn,0,16,-84.60000000000075,,-0.6209437439143658,250,,0.04800125450316456,,4,9
DQN,dqn,0,17,-32.59999999999993,,-0.1104621817864994,101,,0.04024990390126522,,4,9
DQN,dqn,0,18,-84.6000000000005,,-0.7493485696464777,250,,0.05451755616213045,,4,9
DQN,dqn,0,19,-94.39999999999952,,-1.2768130351901055,250,,0.05842530858954267,,4,9
DQN,dqn,0,20,-86.0000000000006,-32.692307692308525,-1.0664537964910268,250,250.0,0.050795996351347815,,4,9
DQN,dqn,0,21,-87.40000000000055,,-1.3391349724680186,250,,0.04602114655195721,,4,9
DQN,dqn,0,22,-91.60000000000011,,-1.4306653764247894,250,,0.05374643819466714,,4,9
DQN,dqn,0,23,-91.60000000000016,,-1.3204894170165062,250,,0.05938668581583197,,4,9
DQN,dqn,0,24,-84.60000000000059,,-1.0680054628774525,250,,0.058505794784474756,,4,9
DQN,dqn,0,25,-90.2000000000001,,-1.2162533713653683,250,,0.05382832935050366,,4,9
DQN,dqn,0,26,-88.8000000000004,,-1.709850637078285,250,,0.05839258907062392,,4,9
DQN,dqn,0,27,-92.99999999999983,,-1.3485306046456098,250,,0.059761619047513086,,4,9
DQN,dqn,0,28,-84.60000000000068,,-1.612872107565403,250,,0.053930156143201936,,4,9
DQN,dqn,0,29,-84.60000000000075,,-1.1498064832165837,250,,0.05588769269663663,,4,9
DQN,dqn,0,30,-52.39999999999944,,-1.3136665140241384,250,,0.0596677660641651,,4,9
DQN,dqn,0,31,-87.40000000000038,,-1.3694411330223084,250,,0.07083820652157541,,4,9
DQN,dqn,0,32,-90.20000000000063,,-2.0857474209070204,250,,0.06877349479304205,,4,9
DQN,dqn,0,33,-92.99999999999962,,-2.21172068965435,250,,0.0690567617615064,,4,9
