agent,final_20_train_return,final_20_avg_max_q,final_20_episode_length,best_train_return,final_5_eval_return,best_eval_return,final_5_eval_length
DQN,30.339999999995285,4.180428826447296,250.0,163.19999999999627,206.4102564102513,316.66666666665645,250.0
Double DQN,106.11999999999769,8.428791569623495,241.6,171.59999999999914,190.3846153846177,361.5384615384592,250.0
Mellowmax DQN,61.62999999999488,-0.916836540767178,250.0,184.1999999999979,292.94871794871335,393.5897435897317,250.0
