agent,backup_type,seed,episode,train_return,eval_return,avg_max_q,episode_length,eval_length,loss,mellowmax_omega
DQN,dqn,0,186,139.14257016509475,,9.651194959696383,1000,,1.640977743089199,
DQN,dqn,0,187,18.674421875042718,,0.008776287943124772,1000,,1.5979205139875412,
DQN,dqn,0,188,87.27910597678598,,10.234104912122712,1000,,1.5872391600608826,
DQN,dqn,0,189,84.03309359413959,,15.705845505565405,1000,,1.6037416982352735,
DQN,dqn,0,190,-132.25195409603026,164.96838778552737,17.267983278342054,113,690.8,1.5181180222899513,
DQN,dqn,0,191,-33.013447688628816,,35.26952081209137,147,,1.5704787547896508,
DQN,dqn,0,192,49.256935685154964,,11.638471806973218,1000,,1.5995228507518768,
DQN,dqn,0,193,-25.857008402846546,,50.26315657023726,116,,1.6575516590784336,
DQN,dqn,0,194,11.516614814800533,,45.16610004978795,155,,1.6284834217640662,
DQN,dqn,0,195,102.72287006119944,,12.71165768168494,1000,,1.548280645996332,
DQN,dqn,0,196,-26.61918135271081,,36.64417126065209,84,,1.5523292287474586,
DQN,dqn,0,197,16.249946196456705,,46.9763604439795,128,,1.528121075592935,
DQN,dqn,0,198,117.3048940675428,,16.18215073135495,1000,,1.563380460947752,
DQN,dqn,0,199,7.910290386518824,,45.97355769309279,146,,1.6035662162793827,
DQN,dqn,0,200,-1.2039298378017094,27.10823463153839,32.03024814544468,109,746.8,1.560531005946868,
DQN,dqn,0,201,141.72018805854646,,13.353553336530924,1000,,1.5404171632528305,
DQN,dqn,0,202,106.30492941803138,,13.426322393178939,1000,,1.54551135674119,
DQN,dqn,0,203,0.34125233034764335,,35.17492629875217,114,,1.559046292252708,
DQN,dqn,0,204,142.05360573217092,,15.066801020622254,1000,,1.5896933136880398,
DQN,dqn,0,205,-4.471764708504679,,57.231022745370865,100,,1.468734724521637,
DQN,dqn,0,206,27.633194163809023,,65.91760377669603,89,,1.4709862899244501,
DQN,dqn,0,207,53.42683063853198,,70.4082671860431,94,,1.6019328103420583,
DQN,dqn,0,208,22.672516032457125,,59.48033138513565,95,,1.52520432472229,
DQN,dqn,0,209,121.79371784805555,,13.41498092019558,1000,,1.5683430940508842,
DQN,dqn,0,210,101.35288072682825,258.41098278196785,13.304841384887695,1000,306.8,1.5814290741980075,
DQN,dqn,0,211,106.72674838686349,,14.114553426027298,1000,,1.547500083953142,
DQN,dqn,0,212,19.02430487979933,,73.31549580530687,88,,1.5109413570978425,
DQN,dqn,0,213,115.53952731960145,,16.370844016075136,1000,,1.5782022382616996,
DQN,dqn,0,214,20.164104451604075,,50.33248435958358,121,,1.6879543327102977,
DQN,dqn,0,215,89.05598593029814,,13.748721579909324,1000,,1.5944647471010684,
DQN,dqn,0,216,35.14813629421738,,65.14838418015489,111,,1.4794758177018381,
DQN,dqn,0,217,129.47814496012515,,15.85533483362198,1000,,1.5483243133127689,
DQN,dqn,0,218,67.73466426124705,,15.349806574374437,1000,,1.5452714609205722,
DQN,dqn,0,219,114.72491326115849,,15.302744674921035,1000,,1.5709622485935688,
DQN,dqn,0,220,23.24882704423456,248.22874772448895,66.49903382460276,120,398.0,1.6604108209411303,
DQN,dqn,0,221,265.22557566986154,,29.02454741591031,388,,1.5269999694578427,
DQN,dqn,0,222,-38.72115064948339,,50.32709185201295,98,,1.5155244652105837,
DQN,dqn,0,223,46.00843964323727,,65.80352833691765,119,,1.4829425015369384,
DQN,dqn,0,224,155.8276388098305,,21.431801998615263,1000,,1.557404324799776,
DQN,dqn,0,225,149.70646987819782,,15.606074542045594,1000,,1.5602209766209125,
DQN,dqn,0,226,40.668435618998444,,70.95486230249946,141,,1.622822829172121,
DQN,dqn,0,227,120.9378752355878,,16.67992859315872,1000,,1.574302113085985,
DQN,dqn,0,228,57.12904745124709,,71.65891815128182,133,,1.6155942665006882,
DQN,dqn,0,229,162.53951781087287,,18.410872088909148,1000,,1.5951763854324819,
DQN,dqn,0,230,252.66145460439188,273.2555861695696,19.99688102982261,792,232.6,1.547508968661229,
DQN,dqn,0,231,-3.5151016369147072,,72.99685855621988,94,,1.4602719963865076,
DQN,dqn,0,232,45.138919084902284,,72.79966208186462,137,,1.6209897816616252,
DQN,dqn,0,233,18.161173723367952,,68.60971020397388,114,,1.51622151910213,
DQN,dqn,0,234,23.628187029383568,,58.037382158366114,132,,1.5646617764776403,
DQN,dqn,0,235,163.76285045635342,,19.98194048500061,1000,,1.5723067297637463,
DQN,dqn,0,236,51.05106248632052,,68.87689178868344,152,,1.6318226231164055,
DQN,dqn,0,237,151.45571348392127,,16.548352184295656,1000,,1.5286284254789353,
DQN,dqn,0,238,-115.63977343827985,,21.584522474541174,233,,1.4718797709553026,
DQN,dqn,0,239,133.3833985980712,,17.256594246864317,1000,,1.50767412173748,
DQN,dqn,0,240,22.32132388426278,222.59808381037692,58.776602155559665,182,274.4,1.4644836403511383,
DQN,dqn,0,241,28.976511556134227,,68.4175487496387,174,,1.4446135903226918,
DQN,dqn,0,242,23.978534853493315,,72.13611757344214,116,,1.5121699278724605,
DQN,dqn,0,243,112.64971094230121,,18.220146166324614,1000,,1.4886431956589221,
DQN,dqn,0,244,-30.876356650518787,,70.73962139475692,103,,1.444725517509053,
DQN,dqn,0,245,23.194752397590065,,70.97347723113165,144,,1.5741088297218084,
DQN,dqn,0,246,138.75586357742574,,19.273915205955504,1000,,1.494689183741808,
DQN,dqn,0,247,150.83811103378528,,19.59643044862151,1000,,1.493725303441286,
DQN,dqn,0,248,-14.30333478105534,,73.29371638691754,109,,1.4350648161468156,
DQN,dqn,0,249,134.14942495599698,,26.892654562592508,1000,,1.4265455776154996,
DQN,dqn,0,250,122.50940496586405,263.30453850344117,18.40877997636795,1000,242.6,1.4236293512284757,
DQN,dqn,0,251,156.05595655187133,,19.795122738361357,1000,,1.3861172098219394,
DQN,dqn,0,252,139.14813141408558,,18.61921004676819,1000,,1.363511587500572,
DQN,dqn,0,253,143.64331676757482,,19.277960334300996,1000,,1.351756933003664,
DQN,dqn,0,254,26.26804194652567,,81.76430571312999,102,,1.2964994264583962,
DQN,dqn,0,255,30.555778723581994,,86.26400203515988,101,,1.3181417917851175,
DQN,dqn,0,256,152.08716980896546,,20.71141073179245,1000,,1.34177309563756,
DQN,dqn,0,257,-30.7543327561406,,79.43991560935974,100,,1.3196236139535904,
DQN,dqn,0,258,9.78634936783314,,72.79045148049632,124,,1.3655771372779724,
DQN,dqn,0,259,54.110855742046795,,85.22467390696208,84,,1.3274301393401056,
DQN,dqn,0,260,21.66974857809734,172.8073179573694,80.22352497094597,153,813.4,1.320976438865163,
DQN,dqn,0,261,23.48121429695182,,79.52405367670832,111,,1.4124496638237893,
DQN,dqn,0,262,163.78657189090487,,19.684128825187685,1000,,1.3308206550478936,
DQN,dqn,0,263,37.89589935028923,,67.06231365000555,129,,1.2122998186784197,
DQN,dqn,0,264,126.01198024825742,,19.139365167617797,1000,,1.2822488504946232,
DQN,dqn,0,265,81.76845153764158,,29.783078391872348,1000,,1.3047932674884797,
DQN,dqn,0,266,0.05120721259619643,,83.8584827724256,95,,1.274462648441917,
DQN,dqn,0,267,187.80536898384895,,29.43117385974218,696,,1.3019391346680023,
DQN,dqn,0,268,146.94778086969097,,28.50131619900465,1000,,1.2703102057576179,
DQN,dqn,0,269,53.15212681347825,,87.31763790023159,142,,1.2933931226881457,
DQN,dqn,0,270,3.07453978985356,207.34841159563288,80.8049843007868,110,499.2,1.241386306014928,
DQN,dqn,0,271,145.76285888905093,,21.183926291152837,1000,,1.223042829722166,
DQN,dqn,0,272,15.719422698926877,,89.51188377900557,88,,1.161886751651764,
DQN,dqn,0,273,51.90602027807088,,84.78696422015919,136,,1.2156399698818432,
DQN,dqn,0,274,136.74800809377902,,19.218976391077042,1000,,1.2448535252511501,
DQN,dqn,0,275,19.966199044932438,,78.76239808400472,138,,1.2084934262261875,
DQN,dqn,0,276,9.57073262649645,,86.35875871446397,108,,1.2717815011187836,
DQN,dqn,0,277,179.69388132298232,,25.122118895173074,1000,,1.2241560043096542,
DQN,dqn,0,278,42.314253314722265,,89.62293147586641,105,,1.236843346414112,
DQN,dqn,0,279,127.09903849342814,,22.628657631874084,1000,,1.179953471660614,
DQN,dqn,0,280,65.47118757139481,182.1520904980062,74.90722406966776,158,800.0,1.1852837197388275,
DQN,dqn,0,281,-25.19085067193633,,74.10640606225705,153,,1.1460374100925097,
DQN,dqn,0,282,10.040855934527343,,82.8189047241211,125,,1.0953633170127868,
DQN,dqn,0,283,129.57912900867976,,20.227135115146638,1000,,1.1947539312243463,
DQN,dqn,0,284,36.19525951243736,,91.41770578810006,121,,1.0872429264478447,
DQN,dqn,0,285,52.46540506460774,,31.803167304992677,1000,,1.1532616681456567,
DQN,dqn,0,286,183.4731073056907,,22.271125466346742,1000,,1.0996960869878531,
DQN,dqn,0,287,259.14426539432657,,25.342682744554907,965,,1.1391187362720312,
DQN,dqn,0,288,23.72311322970539,,89.99836572647095,100,,1.2016220447421073,
DQN,dqn,0,289,176.76418103276976,,21.709393674850464,1000,,1.1309967120587825,
DQN,dqn,0,290,59.15260939497563,206.08560989375246,96.36666706932915,90,715.8,1.086382559935252,
DQN,dqn,0,291,19.69557161482696,,88.04382050832113,120,,1.205106723556916,
DQN,dqn,0,292,98.66339426706372,,24.94673729133606,1000,,1.0764314250349998,
DQN,dqn,0,293,-12.596012425751965,,63.86579007044267,178,,1.1164658399445286,
DQN,dqn,0,294,20.508936411038846,,75.78712380450705,115,,1.2074627479781275,
DQN,dqn,0,295,-22.84200310071853,,72.40688576231832,115,,1.0857376407022061,
DQN,dqn,0,296,132.3063110856445,,21.903487959861756,1000,,1.098451082855463,
DQN,dqn,0,297,26.438373510291328,,88.27228451674839,106,,1.1102255265105445,
DQN,dqn,0,298,119.9107524773086,,21.570014397621154,1000,,1.1064872952848672,
DQN,dqn,0,299,95.56765622658033,,23.139128305435182,1000,,1.0832894916832447,
DQN,dqn,0,300,279.916525064444,220.82953378341728,55.897046803446955,243,540.0,1.0167707111609816,
DQN,dqn,0,301,185.44944961089217,,21.381935804367064,1000,,1.0637353312075137,
DQN,dqn,0,302,165.85668138587442,,25.870531498908996,1000,,1.0270392949581146,
DQN,dqn,0,303,6.621028280233801,,90.78899469301682,129,,0.9758299547572469,
DQN,dqn,0,304,159.4681068474768,,23.975716975688933,1000,,1.022068286716938,
DQN,dqn,0,305,158.77709866760833,,20.995400486946107,1000,,1.0244056302011013,
DQN,dqn,0,306,2.936913444091303,,86.4177261396896,129,,0.9612725977749788,
DQN,dqn,0,307,110.65185454986864,,32.927378704071046,1000,,0.978192599594593,
DQN,dqn,0,308,110.47214007949654,,19.568729158639908,1000,,0.9476167727559804,
